time_stamp;title;topic
2011-09-02;RWE director buys;2
2011-08-02;RWE may sell three units - report;2
2014-12-19;"European Patent Office granted patent to RWE AG  [DE] titled as ""SECURING THE BILLING OF ENERGY DRAWN AT A CHARGING STATION""";3
2012-02-23;RWE Dea receives permit to develop natural gas fields in Algerian Sahara;4
2011-07-04;RWE [ DAX index] rises in strong trading with rising open interest, continues strong weekly trend;1
2012-11-06;RWE preference falls on low volume;1
2008-09-11;RWE says nuclear concession would boost renewables;0
2011-02-21;"RWE [ DAX index] weakens below Moving Average Price (MAP); 50-day MAP trails 200-day MAP";1
2017-12-01;RWE AG ST Financial Reports: Financial Statement 2010;2
2012-09-20;RWE to trial wind measuring buoys;0
2011-06-02;RWE [ DAX index] hits year-low 10th time in three months;1
2012-04-19;RWE Dea announces oil discovery at PL418 in Norwegian North Sea;4
2012-04-05;- RWE AG publishes 2011 Sustainability Report;2
2008-05-09;German RWE Not To Bid for British Energy - Sources;-1
2014-03-27;"United Kingdom Intellectual Property Office Publishes Application for Trademark ""QUARTIERPOWER"" to RWE for Multiple Goods and Services";3
2010-09-22;RWE plans to invest USD 1.6bn in Czech Republic over five years - report;2
2017-05-15;Good start to fiscal 2017 - RWE confirms full-year outlook;2
2016-08-11;RWE H1 Profit Down 73.8%, But Reiterates FY16 Outlook;2
2012-06-27;- RWE Innogy GmbH - Green GECCO takes over three onshore wind farms in Germany;0
2010-08-30;Iraq 's cetranl govt rejects RWE , Kurdish gas deal as illegal;-1
2008-03-17;German RWE, Eon Likely Candidates For British Energy - Report;3
2013-07-01;RWE affirms 2013 guidance after winning gas price conflict;2
2020-01-21;"Germany lays out  40B coal exit plan; RWE accepts deal through gritted teeth";-1
2008-01-17;Czech RWE Transgas Market Share Seen Down to 70 Pct 2008;2
2008-07-08;E.ON, RWE would see high cashflow if German reactor life-spans extended - report;2
2011-07-18;Deal snapshot: RWE ANNOUNCES BUY OF 15% IN VITRONET;2
2015-10-27;- RWE AG - 'Standby' of lignite-fired power plants contributes to climate targets;0
2008-08-14;RWE H1 opg profit falls on lower trading results, matching expectations;2
2008-10-07;RWE faces no problems on bond, commercial paper markets;2
2010-05-25;RWE hands over two projects to the public;0
2022-10-17;"RWE ADR (RWEOY: $38.23) lifts 2.1%, soars 5.1% for week; +77c [2.1%] Vol Index 1.7 [1 is avg]";1
2022-07-06;RWE , Hellenic Petroleum to develop offshore wind projects in Greece;0
2011-04-08;RWE comes up with proposal for BWB stake sale;2
2011-11-04;RWE [ DAX index] falls in weak trading with rising open interest, weekly trend remains weak;1
2017-04-07;"WIPO PUBLISHES PATENT OF RWE FOR "" HOME AUTOMATION SYSTEM "" ( GERMAN INVENTOR)";3
2012-08-10;RWE plans additional 2,400 job cuts - report;-1
2009-07-17;Turkmens, RWE sign energy exploration deal;0
2013-08-06;"RWE Completes Sale of its License Interest in ""Edvard Grieg""";-1
2014-02-10;RWE announces name change for renewable energy division in UK;-1
2008-04-17;German RWE To Invest 30 Bln Euro by 2012;2
2012-11-08;RWE preference decreases 1.5% on high volume;1
2022-01-27;RWE Says Q4 Operational Performance Exceeds Its Expectations;2
2012-08-06;Gamesa transfers 30-MW Polish wind farm to RWE Innogy;0
2011-09-16;RWE [ DAX index] closes at 4.1% above VWP;1
2011-12-27;RWE preference [Energy] rises 0.6%, rising for a third day, a 3-day rise of 4.9%;1
2012-11-14;German utility RWE raises 2012 outlook slightly as it reports 3rd-quarter profit German utility RWE raises 2012 outlook slightly;2
2008-04-11;Research and Markets: BHP Billiton, RAG Aktiengesellschaft and RWE AG Remain the Leading Companies Operating in Germany 's Coal Industry;4
2010-06-03;German RWE's chief against tax on nuclear fuel elements - report;-1
2011-03-18;RWE launches first offshore installation vessel;0
2018-03-14;-E.ON and RWE - two European energy companies focus their activities;4
2011-12-20;IPC accepts RWE npower, SSE's application for 504-MW Galloper offshore wind farm;0
2008-09-25;RENEWABLES - RWE Innogy To Invest 150 Mln Euro in Biogas Plants by 2012;0
2013-07-03;RWE starts construction of 7.4 MW biogas plant;-1
2009-11-25;RWE to sell all of its American Water stake;0
2009-05-14;Majority of Essent shareholders okay RWE takeover bid;2
2009-09-28;DGAP-CMS: RWE AG : Release of a capital market information;2
2008-11-13;RENEWABLES - RWE , municipal company build biomass plant for EUR 30m;0
2009-05-05;RWE builds up 27% stake in Belgian offshore wind farm developer;0
2021-05-24;National Grid , RWE to jointly bid in New York Bight seabed lease auction;0
2008-05-27;RENEWABLES - RWE Enters Italian Alternative Energy Market, Forms Local JV;0
2009-01-15;Moody's puts RWE on review for downgrade;-1
2010-01-04;RWE , Brain to cooperate on white biotech;-1
2012-06-22;- Goldman , JP Morgan , Nomura handle RWE bond increase;2
2008-06-03;"German Utility RWE AG Downgraded To 'A' On High Investment Plans; Off Watch; Outlook Stable";2
2014-02-06;RWE may cut executives' remuneration under austerity programme - report;2
2012-11-06;RWE strengthens on low volume;1
2011-03-31;Month to March 31: Rwe hits year-low 5th time in nine months;1
2016-05-03;RWE names board members of RWE Supply & Trading;2
2013-09-11;RWE Dea launches gas production in Egypt;4
2013-04-02;- RWE Dea enters West of Shetland Licences;4
2014-09-03;RWE commissions half of all turbines at 576-MW Welsh offshore wind park;0
2017-06-12;- RWE redeems CHF 150 million hybrid bond as of the first cancellation date;2
2009-01-05;German RWE's bid for Dutch Essent with good chances - report;2
2008-10-22;RWE might take part in construction of 3-5 nuclear power plants - report;0
2012-01-13;- RWE ranks 1st in the ESMT innovation index;1
2022-12-01;Thursday December 01, 2022 RWE ADR Compendium - A Snapshot as of December 01;2
2019-11-18;EQS -CMS: RWE Aktiengesellschaft: Release of a capital market information;2
2012-03-30;RWE announces installation of 6MW offshore wind turbine at Thornton Bank;0
2015-08-14;- RWE confirms earnings forecast for 2015;2
2011-12-27;RWE [Energy] falls in weak trading with rising open interest;1
2013-02-01;RWE Dea donates ambulance and woollen blankets in Egypt;4
2008-07-11;EnBW, Vattenfall reject RWE 's offer to operate joint power grid holding;0
2012-11-12;RWE npower renewables pushes back Atlantic Array offshore wind application;0
2016-04-04;RWE launches future-oriented business with new subsidiary;2
